,0
p_1st_ret_opp_1st_sv_pts_won%_l60_tw_ss_SOS_csp_adj_diff,0.001980482172410056
p_sv_opp_ret_pts_won%_l60_tw_ss_IO_SOS_csp_adj_diff,0.0019753454015951524
p_ret_opp_sv_pts_won%_l10_tw_ss_SOS_adj_diff,0.0019563523482196967
p_1st_sv_pts_won%_l10_tw_ss_diff,0.0019323589526739089
p_dfinduce_opp_df%_l60_tw_ss_SOS_csp_adj_diff,0.0018938065823827896
p_2nd_ret_pts_won%_l60_tw_ss_IO_SOS_adj_diff,0.0018604695738142607
p_df_induce%_l60_tw_ss_diff,0.0018257695780033647
p_body_battery_t_tw_diff,0.0017588284584776682
p_ret_pts_won%_l60_tw_ss_diff,0.0017438785857769716
p_1st_sv_opp_1st_ret_pts_won%_l10_tw_ss_IO_SOS_adj_diff,0.0017326787729947469
p_sv_pts_won%_l10_tw_ss_IO_diff,0.0017016790753114615
p_2nd_ret_pts_won%_l60_tw_ss_diff,0.0016681157536867768
p_2nd_ret_opp_2nd_sv_pts_won%_l60_tw_ss_SOS_csp_adj_diff,0.0016629304864490934
p_2nd_ret_opp_2nd_sv_pts_won%_l10_tw_ss_IO_SOS_csp_adj_diff,0.001652507745827662
p_aced%_l60_tw_ss_IO_SOS_adj_diff,0.0016470910946846606
p_bp_save%_l60_tw_ss_IO_diff,0.0016339524373272898
p_2nd_sv_opp_2nd_ret_pts_won%_l60_tw_ss_IO_SOS_csp_adj_diff,0.0016250958414349558
p_2nd_ret_pts_won%_l60_tw_ss_IO_SOS_csp_adj_diff,0.0016205439826832686
p_bpsave_opp_bpconv%_l60_tw_ss_IO_SOS_csp_adj_diff,0.0016070767007066048
p_1st_sv_opp_1st_ret_pts_won%_l60_tw_ss_IO_SOS_adj_diff,0.0015916484572887969
p_aced%_l10_tw_ss_IO_SOS_adj_diff,0.0015775075332637213
p_1st_ret_opp_1st_sv_pts_won%_l10_tw_ss_SOS_csp_adj_diff,0.0015586921866149945
p_ace%_l60_tw_ss_IO_SOS_csp_adj_diff,0.001530106113140411
